@RELATION data/GBSpeechv2
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE class {data/goodSpeech/,data/badSpeech/}

@DATA
0.083954,0.003479,3.015703,0.154047,0.169844,0.671892,0.008698,0.133062,-29.030437,1.516919,-0.094580,0.388360,-0.128022,-0.070971,-0.147886,-0.305669,-0.097448,-0.089693,-0.055140,0.036830,-0.083460,0.015734,0.004140,0.021740,0.018260,0.020227,0.014171,0.020554,0.004147,0.012470,0.016789,0.014917,0.005678,0.018075,0.054399,0.003934,0.320750,0.060912,0.035333,0.555878,0.006417,0.101688,2.682413,0.823429,0.828638,0.468530,0.460618,0.335400,0.335322,0.293377,0.274157,0.243877,0.242223,0.229308,0.221896,0.018479,0.005493,0.022602,0.023051,0.023744,0.018316,0.020241,0.006128,0.014126,0.015917,0.015200,0.007071,0.010982,data/goodSpeech/
0.077240,0.008107,2.946408,0.139788,0.153073,0.712501,0.008738,0.122063,-27.937104,1.110951,0.284765,0.067345,0.004620,0.090532,-0.138690,-0.142515,-0.139637,-0.087746,-0.041101,0.018118,-0.116648,0.016070,0.004083,0.020774,0.012007,0.019103,0.013879,0.026440,0.004324,0.010250,0.018209,0.018199,0.004680,0.019782,0.046426,0.007512,0.397034,0.049388,0.034336,0.433943,0.005864,0.075869,3.106595,0.761028,0.725272,0.460159,0.410872,0.355294,0.328827,0.284001,0.257897,0.239617,0.241162,0.232780,0.236944,0.019835,0.005055,0.022875,0.016009,0.021068,0.017500,0.024943,0.006445,0.011776,0.018715,0.018681,0.005118,0.011659,data/goodSpeech/
0.052825,0.009700,2.975679,0.113764,0.155419,0.348310,0.009985,0.075908,-26.836612,1.856212,-0.420295,-0.015851,-0.299324,0.023525,0.093030,-0.064566,-0.036480,0.011691,-0.045387,-0.024761,-0.000161,0.013229,0.007564,0.044428,0.017951,0.019486,0.013423,0.030094,0.005388,0.010706,0.013581,0.017282,0.007708,0.023437,0.032670,0.008987,0.333755,0.042862,0.036524,0.339460,0.006320,0.054233,2.087265,0.691526,0.657546,0.387658,0.422653,0.322473,0.305210,0.257510,0.272922,0.235305,0.220065,0.213684,0.205951,0.014313,0.009704,0.033782,0.019630,0.019752,0.016051,0.026009,0.007635,0.011751,0.012733,0.016686,0.009284,0.011684,data/goodSpeech/
0.094067,0.009103,3.089091,0.167786,0.175463,0.685653,0.012240,0.148610,-26.313382,1.610178,-0.190582,-0.108926,-0.204164,0.100406,-0.211622,-0.110843,-0.228110,-0.132675,-0.252231,-0.102012,-0.186797,0.023800,0.006815,0.031631,0.021204,0.019309,0.014053,0.015886,0.004699,0.007165,0.009537,0.017816,0.007722,0.023739,0.088823,0.007192,0.276232,0.084774,0.034675,0.677724,0.010093,0.152125,1.576246,0.746633,0.748138,0.455158,0.403994,0.362412,0.307983,0.285367,0.279563,0.282585,0.304391,0.293433,0.310393,0.029885,0.010466,0.034239,0.028974,0.026188,0.020321,0.018533,0.007680,0.010799,0.012452,0.021348,0.011653,0.015068,data/goodSpeech/
0.061607,0.007337,3.027771,0.131056,0.165986,0.449480,0.008918,0.090185,-26.740628,1.812099,-0.175261,-0.111416,-0.246563,0.115309,0.046833,-0.010218,-0.130787,0.069718,-0.039264,0.136427,-0.047449,0.013633,0.005597,0.027836,0.013842,0.023339,0.018644,0.034167,0.006703,0.009449,0.013956,0.024976,0.007820,0.022901,0.041947,0.006267,0.283752,0.049290,0.035136,0.381440,0.005439,0.078999,1.874262,0.667632,0.636610,0.391468,0.407596,0.334633,0.293603,0.245365,0.284136,0.234555,0.227603,0.211633,0.202422,0.014592,0.006989,0.022706,0.016652,0.022659,0.021698,0.028228,0.010584,0.011071,0.014022,0.021449,0.009381,0.010672,data/goodSpeech/
0.059533,0.015509,3.051646,0.120480,0.152186,0.419298,0.015891,0.086123,-26.401294,2.074711,-0.225713,-0.372394,-0.270116,-0.017058,-0.071937,-0.153949,-0.055430,-0.069503,-0.155820,0.003349,-0.145940,0.018691,0.008184,0.022738,0.015591,0.017660,0.015123,0.021408,0.004454,0.011550,0.018295,0.019564,0.009985,0.023122,0.050212,0.013149,0.331094,0.050064,0.033000,0.439818,0.011812,0.082864,2.138378,0.970191,0.759655,0.476513,0.464296,0.360500,0.334135,0.301643,0.314385,0.300904,0.305089,0.297884,0.296731,0.024974,0.012704,0.025812,0.021703,0.023571,0.022272,0.024888,0.007566,0.016422,0.022539,0.024280,0.015094,0.013309,data/goodSpeech/
0.062829,0.010667,3.074723,0.127330,0.155107,0.459413,0.011714,0.097754,-25.967691,1.619073,-0.296508,-0.061157,-0.368554,0.255230,0.033357,0.028087,-0.061575,-0.054112,-0.077532,-0.155573,-0.031514,0.020218,0.007285,0.025075,0.013620,0.016405,0.011478,0.025960,0.005061,0.007483,0.017968,0.023463,0.007922,0.022064,0.049093,0.007696,0.271239,0.050366,0.030350,0.468855,0.007873,0.087139,1.778030,0.783119,0.811231,0.437630,0.472799,0.364702,0.364784,0.281877,0.300350,0.277680,0.275543,0.292129,0.272768,0.026503,0.010275,0.025997,0.018453,0.020287,0.015893,0.028296,0.007855,0.009734,0.022030,0.025835,0.010930,0.012134,data/goodSpeech/
0.064929,0.010782,3.072862,0.130699,0.167189,0.505591,0.009618,0.093256,-25.716553,1.724198,0.037432,0.103323,-0.289849,0.144882,-0.115809,0.061607,-0.117212,0.039044,-0.100412,0.042688,-0.004764,0.014443,0.006333,0.053987,0.020115,0.027784,0.013509,0.021858,0.003462,0.008001,0.010642,0.014659,0.006214,0.025610,0.045006,0.007093,0.231341,0.051545,0.034335,0.404358,0.007365,0.079965,1.351128,0.664130,0.612893,0.339412,0.382455,0.300470,0.280006,0.251514,0.290972,0.234775,0.215769,0.200802,0.185164,0.015542,0.008867,0.039471,0.022381,0.025489,0.017430,0.018671,0.005147,0.009675,0.010337,0.013887,0.008235,0.012444,data/goodSpeech/
0.066985,0.008266,3.024503,0.139696,0.173686,0.453837,0.013429,0.100728,-26.666759,2.391203,-0.009942,-0.043683,-0.181093,0.190790,-0.088480,0.009849,-0.062031,-0.054217,-0.051959,-0.023763,-0.184779,0.021624,0.005868,0.024935,0.013980,0.018194,0.011848,0.030806,0.003750,0.009363,0.025672,0.024891,0.007085,0.023633,0.068349,0.006249,0.329638,0.073507,0.035293,0.569407,0.010281,0.121147,1.630100,0.891471,0.720418,0.473113,0.424914,0.357317,0.295482,0.281169,0.245076,0.250348,0.254721,0.242726,0.254781,0.027172,0.008494,0.025445,0.018871,0.021541,0.015508,0.028797,0.005925,0.012077,0.025201,0.025737,0.010386,0.012285,data/goodSpeech/
0.065769,0.005691,3.073699,0.133277,0.162188,0.441124,0.012704,0.100569,-27.546358,1.793981,-0.384118,-0.136214,-0.320572,0.112122,-0.114846,-0.139862,-0.122223,-0.168647,-0.228592,-0.088593,-0.196942,0.022581,0.010140,0.034474,0.019639,0.017735,0.013277,0.021860,0.005627,0.009032,0.009978,0.016631,0.008864,0.023317,0.055578,0.005085,0.289431,0.058816,0.031919,0.454240,0.009221,0.095594,1.800999,0.696329,0.681849,0.462527,0.387083,0.342535,0.311603,0.302829,0.304579,0.303011,0.330282,0.320401,0.315356,0.027124,0.014896,0.030969,0.025053,0.022229,0.019066,0.023057,0.009090,0.013090,0.012228,0.019012,0.012856,0.012542,data/goodSpeech/
0.040224,0.008313,3.191418,0.094757,0.139494,0.194739,0.008478,0.052808,-24.560677,1.966941,-0.905776,-0.377238,-0.253359,0.201943,-0.193093,-0.095622,-0.078427,-0.150838,-0.170678,-0.125188,-0.158337,0.017587,0.010138,0.016408,0.019254,0.015722,0.013570,0.016223,0.008487,0.011696,0.018449,0.017975,0.011460,0.016132,0.008382,0.004354,0.076486,0.017922,0.028534,0.096971,0.004873,0.016884,0.664260,0.396741,0.385956,0.299201,0.288788,0.272843,0.246292,0.248731,0.235533,0.237805,0.237221,0.223216,0.225324,0.016998,0.011907,0.014331,0.018167,0.014957,0.014573,0.016057,0.012045,0.012924,0.015654,0.015794,0.012356,0.007204,data/badSpeech/
0.219027,0.002645,3.244680,0.284285,0.227735,1.507912,0.001824,0.422883,-26.177365,0.757549,-0.998308,-0.331632,-0.211694,-0.147306,-0.161011,-0.153784,-0.084223,-0.086309,-0.067533,-0.019489,-0.011090,0.008353,0.006691,0.008663,0.009148,0.008655,0.009057,0.008796,0.006196,0.009012,0.009609,0.009224,0.007871,0.008633,0.053162,0.001620,0.062738,0.031198,0.007686,0.349121,0.000652,0.114709,0.416962,0.284161,0.268078,0.241408,0.212045,0.210054,0.206876,0.207299,0.210480,0.207177,0.202118,0.190766,0.183551,0.007595,0.007016,0.007688,0.008314,0.007584,0.008154,0.007860,0.006791,0.008954,0.009513,0.008711,0.008292,0.005171,data/badSpeech/
0.052484,0.026870,3.159211,0.126725,0.162339,0.389016,0.006941,0.071173,-23.241239,2.437278,0.321944,0.073249,-0.249397,0.002400,-0.017821,-0.056514,-0.046269,0.002939,-0.125616,0.023352,-0.095440,0.025594,0.006033,0.031266,0.020501,0.029170,0.016576,0.027485,0.002658,0.010766,0.020958,0.022898,0.007591,0.020941,0.028306,0.012537,0.090260,0.036039,0.024538,0.287687,0.002997,0.061905,0.850385,0.396767,0.538496,0.323041,0.338336,0.289974,0.275884,0.262712,0.248337,0.235598,0.224441,0.219521,0.217309,0.024656,0.007594,0.022980,0.020562,0.024091,0.018161,0.020032,0.003865,0.011942,0.016861,0.018884,0.009017,0.007396,data/badSpeech/
